iter	Logloss
0	0.6467873376
1	0.596343389
2	0.5777080058
3	0.5443697751
4	0.5149544484
5	0.5010121419
6	0.4825724571
7	0.4579933235
8	0.4334709011
9	0.4216012152
10	0.4122404477
11	0.4055021188
12	0.3905360885
13	0.3759456034
14	0.3617441277
15	0.352948904
16	0.3441803153
17	0.3360762457
18	0.3274392454
19	0.3208218254
20	0.314779402
21	0.3093139476
22	0.3020411248
23	0.2957908273
24	0.2913779238
25	0.2830514513
26	0.2789818177
27	0.2736469073
28	0.2701751785
29	0.2682956712
30	0.2595638131
31	0.2538321815
32	0.2494208925
33	0.2444770556
34	0.2381175877
35	0.2313030921
36	0.2262942479
37	0.222993309
38	0.2200553587
39	0.2145795821
40	0.2074458363
41	0.2024791036
42	0.1999099867
43	0.1976194568
44	0.193732386
45	0.1904665653
46	0.1843907303
47	0.1836601338
48	0.1817504735
49	0.1755446397
50	0.1738156842
51	0.172788469
52	0.1692712429
53	0.1669678588
54	0.1641796285
55	0.1605412486
56	0.1565103383
57	0.1532228048
58	0.1514420671
59	0.1499550288
60	0.1480052409
61	0.1451522183
62	0.1443077249
63	0.1398933688
64	0.1382784543
65	0.136634916
66	0.1359864624
67	0.1346240284
68	0.1323563019
69	0.129464841
70	0.1250213672
71	0.1233891155
72	0.1204360032
73	0.1196257687
74	0.1189498004
75	0.1164877347
76	0.1118409691
77	0.1112050339
78	0.109397482
79	0.1062088995
80	0.1032311154
81	0.1025228436
82	0.09995467991
83	0.09940890939
84	0.0975948036
85	0.09680969536
86	0.09603756953
87	0.09323180221
88	0.09183151589
89	0.08885075648
90	0.08684682897
91	0.0853224604
92	0.08268569986
93	0.08071414605
94	0.07980606175
95	0.07850323742
96	0.07753965357
97	0.07595050964
98	0.07426461375
99	0.07242602685
100	0.07172075649
101	0.07001322402
102	0.06921078697
103	0.06890399027
104	0.06784812912
105	0.06681283067
106	0.06551433804
107	0.06378562133
108	0.0624321776
109	0.06127062993
110	0.06029513229
111	0.05982725023
112	0.05845460295
113	0.0576509986
114	0.05662961424
115	0.05585095222
116	0.05491911094
117	0.05388881703
118	0.05338148877
119	0.05256235515
120	0.05171713917
121	0.05054112026
122	0.0496200357
123	0.04907418662
124	0.04886659812
125	0.04814284911
126	0.0477814627
127	0.04682752597
128	0.04619044607
129	0.04599747086
130	0.04523038894
131	0.04505247708
132	0.0448619607
133	0.04428667878
134	0.04390774734
135	0.04323127408
136	0.04254598274
137	0.04220014651
138	0.04172395537
139	0.04071469214
140	0.04048610816
141	0.04012573858
142	0.04000848259
143	0.0395902441
144	0.03930650059
145	0.03874588845
146	0.03817209864
147	0.03786941286
148	0.03772456851
149	0.03738301482
150	0.03692344959
151	0.0365524774
152	0.03614504459
153	0.03603983652
154	0.03587152751
155	0.03546240518
156	0.03514476344
157	0.03449342952
158	0.03416554723
159	0.03380418631
160	0.03335479194
161	0.03289638761
162	0.03276145835
163	0.03224559558
164	0.03201796585
165	0.03165333607
166	0.03119298148
167	0.03101163304
168	0.03092185489
169	0.03043403727
170	0.03012404656
171	0.02981167172
172	0.02953413833
173	0.02922179537
174	0.02882959721
175	0.02876288851
176	0.02851920187
177	0.0282951543
178	0.02792612161
179	0.02750657614
180	0.02709899332
181	0.02668982903
182	0.02658394522
183	0.02636538992
184	0.02608433807
185	0.02582493413
186	0.02564412411
187	0.02546125079
188	0.02525306146
189	0.02502479047
190	0.02478506533
191	0.02470928175
192	0.02462703266
193	0.0243005794
194	0.02420531238
195	0.02408591105
196	0.02405272256
197	0.02381027703
198	0.0235624264
199	0.02321389078
