iter	RMSE
0	0.06017013572
1	0.0600007608
2	0.05983889763
3	0.0596790148
4	0.05950167543
5	0.05934232627
6	0.05917205132
7	0.05902418739
8	0.05884085931
9	0.05867325557
10	0.05853045964
11	0.05838589587
12	0.05820739009
13	0.05806245482
14	0.05788223614
15	0.05771731947
16	0.05756208586
17	0.057429533
18	0.05728059955
19	0.05713034511
20	0.05696407703
21	0.05681752543
22	0.05667020603
23	0.056571057
24	0.05642871756
25	0.05628404887
26	0.05615966647
27	0.05601047666
28	0.0558622156
29	0.05574043534
30	0.05560339133
31	0.05544666723
32	0.05532779091
33	0.05518960717
34	0.05504281968
35	0.0549078931
36	0.05478890093
37	0.05468282629
38	0.05455719615
39	0.0544293145
40	0.05431545365
41	0.05420544378
42	0.05409176519
43	0.05396716769
44	0.05384599337
45	0.05373062887
46	0.05361124281
47	0.05350138879
48	0.05337787884
49	0.05329274123
50	0.05317763404
51	0.0530559574
52	0.05292518923
53	0.05282017159
54	0.05272580811
55	0.0526076899
56	0.05252567607
57	0.05241786629
58	0.05233017178
59	0.05223043423
60	0.05213609077
61	0.05204524159
62	0.05196240939
63	0.05184859453
64	0.05175417941
65	0.05164914968
66	0.05156806466
67	0.05147917782
68	0.05140566892
69	0.05131402731
70	0.05122115767
71	0.05113349795
72	0.05102188228
73	0.05094392154
74	0.05085711356
75	0.05075320177
76	0.05066967717
77	0.05058606224
78	0.05049083713
79	0.05038945256
80	0.05030636895
81	0.05023565196
82	0.05016636256
83	0.05009565453
84	0.05003105736
85	0.04994563365
86	0.04988607473
87	0.04981559277
88	0.04973344442
89	0.04966485553
90	0.04958686143
91	0.04951864674
92	0.04943513125
93	0.0493560392
94	0.04926413562
95	0.04919661206
96	0.04913507157
97	0.04905527984
98	0.04897718812
99	0.04893105213
100	0.04885448161
101	0.04880441361
102	0.04872830808
103	0.0486633677
104	0.04859384771
105	0.04853553221
106	0.04847709113
107	0.0484144956
108	0.04834355364
109	0.04825945874
110	0.04821443404
111	0.04814459123
112	0.04807533515
113	0.04801757204
114	0.04796154058
115	0.04790582005
116	0.04783103729
117	0.04778154191
118	0.04771806975
119	0.04764998129
120	0.04758560105
121	0.04753864223
122	0.04749118912
123	0.047418983
124	0.04736624685
125	0.0473170609
126	0.04723500337
127	0.04717444856
128	0.04711426876
129	0.04705327459
130	0.04698897416
131	0.04693397969
132	0.04687276779
133	0.04683047387
