Zn Content (wt. %),Co Cotent (wt. %),Fe Cotent (wt. %),N Content (at. %),O Content (at. %),S Content (at. %),Pyridinic Ratio,Pyrrolic Ratio,Graphitic Ratio,Oxidized Ratio,Content of Pyridinic Species (at. %),Content of Pyrrolic Species (at. %),Content of Graphitic Species (at. %),Content of Oxidized Species (at. %),Raman ID/IG Ratio,BET Surface Area (m2 g-1),Micropore Ratio,Mesopore Ratio,Catalyst Loading on RDE/RRDE(mg cm-2),Fe Precursor Ratio,Zn Precursor Ratio,2-Methylimidazole Precursor Ratio,Additive (Other) Precursor Ratio,ZIF Preparation Temperature (¡æ),ZIF Preparation Time (h),One-Pot Method,Post-Adsorb Method,Carbon-Derivative Adsorb Method,Pyrolysis Temperature (¡æ),Pyrolysis Time (h),Temperature Rising Rate (¡æ min-1),Seconde Pyrolysis,Acid Wash,Half Wave Potential in Acid Condition (vs. RHE),HW_0.78,HW_0.8,HW_0.82,Rotating Speed (rpm),PYMT_0.01,PYMT_0.02,PYMT_0.03
0.01,0,0.021,0.045,0.056149317,0,0.596546311,0.141287284,0.050235479,0.211930926,0.026844584,0.006357928,0.002260597,0.009536892,0.84,640,0.84429,0,0.8,0.002850201,0.190013368,0.807136431,0,60,24,1,0,0,1100,1,4.660167225,0,0,0.88,1,1,1,900,1,1,0
0,0.043,0,0.0517,0.041,0,0.513618677,0.194552529,0.291828794,0.01,0.026554086,0.010058366,0.015087549,0.000517,1.25,830,0.45982,0.4936,0.4,0,0.141339492,0.84295612,0,25,24,1,0,0,900,1,5,0,0,0.79,1,0,0,1600,1,1,0
0,0.014,0,0.067,0.341,0,0.494768311,0.278026906,0.227204783,0.01,0.033149477,0.018627803,0.01522272,0.00067,1.25,830,0.28965,0.63437,0.4,0,0.07852194,0.84295612,0,25,24,1,0,0,900,1,5,0,0,0.73,0,0,0,1600,1,1,1
0,0,0.0603,0.0482,0.0292,0,0.502074689,0.010373444,0.334024896,0.153526971,0.0242,0.0005,0.0161,0.0074,0.932375892,731,0.85636,0.14364,0.817,0.00336749,0.195017799,0.781288912,0.020325799,64.90489666,22.99691501,0,1,0,1050,1,4.416004706,1,0,0.85,1,1,1,1500,1,1,0
0,0,0.00055,0.0648,0.0269,0,0.458333333,0.063271605,0.367283951,0.111111111,0.0297,0.0041,0.0238,0.0072,1.03379892,894,0.94855,0.05145,0.817,0.00336749,0.195017799,0.781288912,0.020325799,75.3601097,9.661404457,0,1,0,1050,1,5.257256293,1,0,0.73,0,0,0,1500,1,1,0
0,0,0.00256,0.0479,0.0163,0,0.461377871,0.029227557,0.361169102,0.14822547,0.0221,0.0014,0.0173,0.0071,1.052058855,1257,0.88305,0.11695,0.817,0.00336749,0.195017799,0.781288912,0.020325799,84.69646655,15.38155393,0,1,0,1050,1,5.794854339,1,0,0.73,0,0,0,1500,1,1,0
0,0,0.00106,0.0698,0.026,0,0.437677054,0.066572238,0.325779037,0.169971671,0.030549858,0.004646742,0.022739377,0.011864023,1.037238206,923,0.93391,0.06609,0.817,0.00336749,0.195017799,0.781288912,0.020325799,72.78054008,10.79115333,0,1,0,1050,1,5.288101666,1,0,0.73,0,0,0,1500,1,1,1
0,0,0.00072,0.0742,0.016,0,0.471698113,0.080862534,0.334231806,0.113207547,0.035,0.006,0.0248,0.0084,1.054247999,1140,0.95351,0.04649,0.817,0.00336749,0.195017799,0.781288912,0.020325799,79.41534762,12.46394473,0,1,0,1050,1,4.997204484,1,0,0.7,0,0,0,1500,1,1,1
0.0032,0,0.0532,0.07432,0.10185,0,0.596365744,0.167133922,0.165862573,0.098099744,0.044321902,0.012421393,0.012326906,0.007290773,1.000442632,904.5,0.28811,0.71189,0.5,0.005570893,0.105846973,0.888582134,0,25,24,1,0,0,950,2,5,0,0,0.82,1,1,1,1600,1,1,1
0.0003,0,0.0509,0.07722,0.11,0,0.540677858,0.181225738,0.186536893,0.091263606,0.041751144,0.013994251,0.014404379,0.007047376,1.001617566,495.99,0.25259,0.74741,0.5,0.004784892,0.09091294,0.763211382,0.141090786,25,24,1,0,0,950,2,5,0,0,0.81,1,1,0,1600,1,1,1
